zip,count,new_rate_10k,date,zipcode,name,state_abbrev,area,totpop_cy,medhinc_cy
97465,0,0.0,2020-05-27,97465,"Port Orford",OR,117.807090831625,2344,34346
97488,0,0.0,2020-05-27,97488,Vida,OR,206.094047026803,1150,56463
97497,0,0.0,2020-05-27,97497,"Wolf Creek",OR,103.544759378236,1592,44954
97498,0,0.0,2020-05-27,97498,Yachats,OR,95.4877107311338,1977,44404
97499,0,0.0,2020-05-27,97499,Yoncalla,OR,128.918210235637,2037,45827
97502,0,0.0,2020-05-27,97502,"Central Point",OR,82.2044501335604,29656,55522
97520,0,0.0,2020-05-27,97520,Ashland,OR,650.448522966211,27164,57290
97525,0,0.0,2020-05-27,97525,"Gold Hill",OR,121.333049774043,5268,50465
97526,0,0.0,2020-05-27,97526,"Grants Pass",OR,243.846756990657,36281,48330
97530,0,0.0,2020-05-27,97530,Jacksonville,OR,417.319009797209,7965,60279
97532,0,0.0,2020-05-27,97532,Merlin,OR,320.292925565146,2674,55284
97537,0,0.0,2020-05-27,97537,"Rogue River",OR,213.780221461063,7431,48920
97538,0,0.0,2020-05-27,97538,Selma,OR,197.730297682718,2720,46611
97539,0,0.0,2020-05-27,97539,"Shady Cove",OR,10.6136023700573,3838,40585
97541,0,0.0,2020-05-27,97541,Trail,OR,196.370849013413,1483,47643
97544,0,0.0,2020-05-27,97544,Williams,OR,116.53943350706,2313,42673
97601,0,0.0,2020-05-27,97601,"Klamath Falls",OR,882.99107448628,23582,36080
97603,0,0.0,2020-05-27,97603,"Klamath Falls",OR,350.172343989018,31146,44512
97623,0,0.0,2020-05-27,97623,Bonanza,OR,806.165580831286,2464,37748
97630,0,0.0,2020-05-27,97630,Lakeview,OR,1108.21643912553,5292,43584
97641,0,0.0,2020-05-27,97641,"Christmas Valley",OR,897.061410226224,1261,27358
97738,0,0.0,2020-05-27,97738,Hines,OR,1163.67684718508,2093,51069
97739,0,0.0,2020-05-27,97739,"La Pine",OR,1087.68961845201,13577,48661
97753,0,0.0,2020-05-27,97753,"Powell Butte",OR,120.061302421717,2459,72838
97759,0,0.0,2020-05-27,97759,Sisters,OR,415.158671772103,7793,75337
97818,0,0.0,2020-05-27,97818,Boardman,OR,239.125020719744,4645,54928
97820,0,0.0,2020-05-27,97820,"Canyon City",OR,160.267551419596,1238,56040
97824,0,0.0,2020-05-27,97824,Cove,OR,210.722680595857,1753,62393
97826,0,0.0,2020-05-27,97826,Echo,OR,265.413747984774,1335,53454
97827,0,0.0,2020-05-27,97827,Elgin,OR,412.153827971747,3301,41728
97844,0,0.0,2020-05-27,97844,Irrigon,OR,64.1291827565068,4013,58486
97846,0,0.0,2020-05-27,97846,Joseph,OR,397.120770667425,2048,50136
97862,0,0.0,2020-05-27,97862,"Milton Freewater",OR,312.696971532913,11565,46821
97865,0,0.0,2020-05-27,97865,"Mount Vernon",OR,352.000365480287,1086,37356
97869,0,0.0,2020-05-27,97869,"Prairie City",OR,694.192178115562,1064,39081
97883,0,0.0,2020-05-27,97883,Union,OR,347.202720024648,2824,45161
97885,0,0.0,2020-05-27,97885,Wallowa,OR,535.06213387983,1508,51842
97761,-1,-0.3045,2020-05-27,97761,"Warm Springs",OR,475.68087955937,3045,49387
97218,-1,-1.5828,2020-05-27,97218,Portland,OR,10.933331212801,15828,59510
97301,16,91.9968,2020-06-03,97301,Salem,OR,11.2504876292894,57498,43425
97305,15,65.3295,2020-06-03,97305,Salem,OR,47.9919312146601,43553,48604
97266,15,55.308,2020-06-03,97266,Portland,OR,6.22534838462095,36872,46821
97123,11,54.571,2020-06-03,97123,Hillsboro,OR,56.0120216624948,49610,78935
97024,39,45.4272,2020-06-03,97024,Fairview,OR,4.18615660806631,11648,57991
97206,8,41.0584,2020-06-03,97206,Portland,OR,6.47120363521073,51323,62204
97233,9,39.0276,2020-06-03,97233,Portland,OR,4.70276841896393,43364,44978
97203,10,35.659,2020-06-03,97203,Portland,OR,11.3519900967709,35659,57817
97071,10,31.603,2020-06-03,97071,Woodburn,OR,57.0083478387998,31603,53329
97236,7,27.8103,2020-06-03,97236,Portland,OR,7.56497957853936,39729,53217
97230,6,25.4094,2020-06-03,97230,Portland,OR,10.6941806300882,42349,55153
97756,5,20.1,2020-06-03,97756,Redmond,OR,98.7445915875537,40200,56928
